,seed,HV,time,nds,RF_train_acc,SVC_train_acc,MLP_train_acc,RF_test_acc,SVC_test_acc,MLP_test_acc,RF_val_acc,SVC_val_acc,MLP_val_acc,RF_c_features,SVC_c_features,MLP_c_features,c_min,c_max,f1_min,f1_max,f2_min,f2_max
0,2026,0.6520322923721004,1036.4182584285736,8,1.0,0.9736842105263158,0.8157894736842105,0.4411764705882353,0.7647058823529411,0.7058823529411765,0.9486111111111111,0.9347222222222222,0.8430555555555556,2,3,2,2,3,-0.6820755745280777,-0.47650900979710825,0.003205417235240319,0.40030764902239563
1,2027,0.6959135654459152,1019.6341354846954,19,1.0,1.0,0.9736842105263158,0.8823529411764706,0.8529411764705882,0.9117647058823529,1.0,1.0,0.9736111111111111,3,3,3,2,3,-0.7600388269067309,-0.43294689116282176,0.0011245907339753206,0.44213745784549535
2,2028,0.6975239799624268,1073.3655230998993,23,1.0,0.9736842105263158,1.0,0.9117647058823529,0.9117647058823529,0.9411764705882353,0.9722222222222222,0.9722222222222222,1.0,2,2,2,2,4,-0.7846700907391173,-0.4747218001712072,0.0017354631743028176,0.6755855149883818
3,2029,0.6944910238442024,1060.5198307037354,12,1.0,1.0,0.9210526315789473,0.8529411764705882,0.7941176470588235,0.6764705882352942,0.9861111111111112,1.0,0.9208333333333334,2,2,3,2,3,-0.7498149695597902,-0.4509215829731064,0.0012264781560446048,0.4892716204325421
4,2030,0.6442337541090558,1040.0200123786926,17,1.0,0.9736842105263158,1.0,0.8529411764705882,0.9411764705882353,0.7352941176470589,0.961111111111111,0.95,0.9347222222222222,3,3,3,2,4,-0.6874572088915991,-0.3674193989635052,0.0010365104193067508,0.7258179529490949
5,2031,0.7049776715936366,1074.6135907173157,21,1.0,0.9736842105263158,1.0,0.7941176470588235,0.7941176470588235,0.7352941176470589,0.975,0.975,0.975,2,3,2,2,4,-0.8197347498969264,-0.3487033761166037,0.00025318423077136376,0.7473787332617832
6,2032,0.619617590602024,1049.7942054271698,17,1.0,0.9210526315789473,0.8157894736842105,0.7352941176470589,0.6470588235294118,0.47058823529411764,0.9041666666666666,0.9166666666666666,0.8305555555555555,3,2,2,2,3,-0.6562482544049937,-0.29407813672782473,0.0009874571522604791,0.5046193697665412
7,2033,0.630752985602608,1038.145378112793,18,1.0,0.8947368421052632,0.9473684210526315,0.7941176470588235,0.7941176470588235,0.8823529411764706,0.9222222222222223,0.9069444444444444,0.9444444444444444,3,2,3,2,4,-0.6672193255972853,-0.2918706346728143,0.000524488763924584,0.595967590221838
8,2034,0.6785616741968686,1050.0791306495667,15,1.0,0.9736842105263158,0.8421052631578947,0.7352941176470589,0.7941176470588235,0.5588235294117647,0.9722222222222222,0.975,0.8680555555555556,3,3,2,2,3,-0.7396552506889474,-0.43258824348895214,7.183307893570745e-05,0.547742159538188
9,2035,0.6851154526179575,1091.3820779323578,17,1.0,0.9736842105263158,1.0,0.7352941176470589,0.7941176470588235,0.7058823529411765,0.95,0.975,0.9472222222222222,2,2,3,2,3,-0.7614783247290969,-0.553669743135081,0.001875560958055294,0.7030254471969254
