seed,HV,time,nds,RF_train_acc,SVC_train_acc,MLP_train_acc,RF_test_acc,SVC_test_acc,MLP_test_acc,RF_val_acc,SVC_val_acc,MLP_val_acc,RF_c_features,SVC_c_features,MLP_c_features,c_min,c_max,f1_min,f1_max,f2_min,f2_max
2026,0,0,1,1.0,0.9736842105263158,0.7894736842105263,0.8823529411764706,0.9705882352941176,0.7941176470588235,0.9583333333333333,0.9597222222222221,0.7777777777777778,20,20,20,20,20,-0.7484693525603311,-0.7484693525603311,0.6483423923558473,0.6483423923558473
2027,0,0,1,1.0,0.9736842105263158,1.0,0.9117647058823529,0.9705882352941176,0.9411764705882353,0.9722222222222222,0.9597222222222221,0.9083333333333333,20,20,20,20,20,-0.7484693525603311,-0.7484693525603311,0.6483423923558473,0.6483423923558473
2028,0,0,1,1.0,0.9736842105263158,0.9736842105263158,0.8823529411764706,0.9705882352941176,0.8235294117647058,0.9583333333333333,0.9597222222222221,0.7749999999999999,20,20,20,20,20,-0.7484693525603311,-0.7484693525603311,0.6483423923558473,0.6483423923558473
2029,0,0,1,1.0,0.9736842105263158,1.0,0.8823529411764706,0.9705882352941176,0.7941176470588235,0.9444444444444444,0.9597222222222221,0.8680555555555556,20,20,20,20,20,-0.7484693525603311,-0.7484693525603311,0.6483423923558473,0.6483423923558473
2030,0,0,1,1.0,0.9736842105263158,1.0,0.8823529411764706,0.9705882352941176,0.9117647058823529,0.9583333333333333,0.9597222222222221,0.8666666666666667,20,20,20,20,20,-0.7484693525603311,-0.7484693525603311,0.6483423923558473,0.6483423923558473
2031,0,0,1,1.0,0.9736842105263158,1.0,0.8823529411764706,0.9705882352941176,0.9411764705882353,0.9319444444444445,0.9597222222222221,0.9055555555555554,20,20,20,20,20,-0.7484693525603311,-0.7484693525603311,0.6483423923558473,0.6483423923558473
2032,0,0,1,1.0,0.9736842105263158,1.0,0.9117647058823529,0.9705882352941176,0.8823529411764706,0.9722222222222222,0.9597222222222221,0.8819444444444444,20,20,20,20,20,-0.7484693525603311,-0.7484693525603311,0.6483423923558473,0.6483423923558473
2033,0,0,1,1.0,0.9736842105263158,0.9736842105263158,0.8529411764705882,0.9705882352941176,0.9117647058823529,0.9722222222222222,0.9597222222222221,0.8819444444444444,20,20,20,20,20,-0.7484693525603311,-0.7484693525603311,0.6483423923558473,0.6483423923558473
2034,0,0,1,1.0,0.9736842105263158,0.39473684210526316,0.8529411764705882,0.9705882352941176,0.4117647058823529,0.9444444444444444,0.9597222222222221,0.37916666666666665,20,20,20,20,20,-0.7484693525603311,-0.7484693525603311,0.6483423923558473,0.6483423923558473
2035,0,0,1,1.0,0.9736842105263158,0.5526315789473685,0.8823529411764706,0.9705882352941176,0.5294117647058824,0.9722222222222222,0.9597222222222221,0.6847222222222222,20,20,20,20,20,-0.7484693525603311,-0.7484693525603311,0.6483423923558473,0.6483423923558473
