algorithm,problem,n,m,k,L,U,gs_best_score,best_options
AE1,1,100,10,1,0,10,-226.93475567406452,"{'p_c': 0.9, 'p_m': 0.01}"
AE1,2,150,15,1,0,10,-450.2033969397999,"{'p_c': 0.9, 'p_m': 0.01}"
AE1,3,200,20,1,0,10,-806.4813808714345,"{'p_c': 0.85, 'p_m': 0.01}"
AE1,4,200,20,7,0,10,-2214.51031008835,"{'p_c': 0.7, 'p_m': 0.01}"
AE2,1,100,10,1,0,10,-241.4837093035511,"{'p_c': 0.5, 'p_m': 0.01}"
AE2,2,150,15,1,0,10,-537.1601553837476,"{'p_c': 0.9, 'p_m': 0.005}"
AE2,3,200,20,1,0,10,-963.8582848797699,"{'p_c': 0.9, 'p_m': 0.001}"
AE2,4,200,20,7,0,10,-2658.2901376429786,"{'p_c': 0.85, 'p_m': 0.001}"
AE3,1,100,10,1,0,10,-241.4837093035511,"{'p_c': 0.75, 'p_m': 0.2}"
AE3,2,150,15,1,0,10,-536.519397214301,"{'p_c': 0.8, 'p_m': 0.3}"
AE3,3,200,20,1,0,10,-960.815894856279,"{'p_c': 0.6, 'p_m': 0.3}"
AE3,4,200,20,7,0,10,-2638.0958327344,"{'p_c': 0.85, 'p_m': 0.3}"
